Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
-1.089391941,0.027108483,0.014161395,-0.042711887,0.073626379,0.25515833,0.257425655,0.270284214,0.251322548,-0.028746067,0.061733382,-0.04448764,0.085112221,-0.049144244,0.079643605,0.29334483,-0.475397239,0.297655549,-0.464731227,-0.048212923,0.080737328,-0.267377751,-0.139767358,0.056788643,0.240059062,-0.338974538,-1.432926252,-0.364434799,-1.474235335,-0.008044622,0.164093772
-1.037057123,0.026330234,0.015559876,-0.043522218,0.074987164,0.259995241,0.249303053,0.275189494,0.243371915,-0.029549982,0.063101706,-0.048880931,0.082667186,-0.048043359,0.083651888,0.286773587,-0.499322913,0.290670666,-0.489355843,-0.048210873,0.083454948,-0.259696742,-0.15356982,0.075537385,0.240524473,-0.450886933,-1.435704325,-0.475046992,-1.478182993,0.008490577,0.161705606
-0.984721692,0.025479863,0.016915709,-0.044311537,0.076414698,0.264706733,0.240782021,0.279962646,0.235011065,-0.030351512,0.0645149,-0.053140243,0.079995566,-0.04661941,0.08764594,0.278273952,-0.523163636,0.281779896,-0.513910553,-0.047923576,0.086115865,-0.251303916,-0.16695135,0.09552921,0.238261868,-0.57021939,-1.422198735,-0.592980364,-1.465301704,0.026162604,0.157219214
-0.932385589,0.024559702,0.018225177,-0.045074296,0.07790834,0.269259688,0.231866387,0.284570941,0.226243655,-0.031145751,0.065971707,-0.057253901,0.077104683,-0.044853301,0.091575718,0.267731945,-0.54662071,0.270870853,-0.538087015,-0.04733342,0.088681511,-0.242222283,-0.179875278,0.116552926,0.2327164,-0.695711298,-1.389097532,-0.716980107,-1.432213633,0.044797906,0.150198049
-0.880048754,0.023572271,0.019484691,-0.045804663,0.079466536,0.273619291,0.222565426,0.288979978,0.217078956,-0.031927531,0.067470167,-0.061210631,0.074002462,-0.042730328,0.095381687,0.255059795,-0.569338755,0.257857273,-0.561519176,-0.046426388,0.091105842,-0.232476737,-0.192306186,0.13828994,0.22330654,-0.82546097,-1.33292955,-0.845150409,-1.375391782,0.064136628,0.140183977
-0.827711128,0.022520279,0.020690799,-0.04649661,0.081086658,0.277749561,0.212894821,0.293154214,0.207532835,-0.032691487,0.069007486,-0.064999586,0.070697406,-0.040242101,0.098994549,0.240207424,-0.590904136,0.242690466,-0.58378195,-0.045193597,0.09333512,-0.222093993,-0.204209997,0.160298832,0.209447301,-0.956833546,-1.250202981,-0.974864304,-1.291308579,0.08382029,0.126715821
-0.775372652,0.021406608,0.021840194,-0.047144036,0.082764845,0.281614084,0.20287763,0.297057697,0.197628724,-0.033432162,0.070579915,-0.068610381,0.067198572,-0.037388693,0.102335446,0.22317526,-0.610846145,0.225372083,-0.604392847,-0.043633029,0.095308071,-0.2111025,-0.21555408,0.182004307,0.19058245,-1.086395053,-1.137597621,-1.102701197,-1.176642832,0.103382966,0.10935512
-0.723033269,0.020234311,0.022929728,-0.047740929,0.084495844,0.285176971,0.192545198,0.300655015,0.187398543,-0.034144136,0.072182621,-0.072033121,0.063515552,-0.034180909,0.105316773,0.204027806,-0.628641855,0.20596754,-0.622817574,-0.04175135,0.096956528,-0.199532383,-0.226307342,0.202693813,0.16622614,-1.209892216,-0.992213437,-1.224432334,-1.028549623,0.122248587,0.087719419
-0.67069292,0.019006601,0.023956412,-0.048281561,0.086272881,0.288404032,0.181937961,0.303912469,0.176883474,-0.034822183,0.073809587,-0.075258423,0.059658441,-0.030642529,0.107843756,0.182907001,-0.643725562,0.18461913,-0.638480652,-0.039565706,0.098206692,-0.187415373,-0.236440311,0.221525676,0.136013299,-1.322300991,-0.811871276,-1.335077982,-0.844991691,0.13973747,0.061522553
-0.61835155,0.017726843,0.024917434,-0.048760722,0.08808756,0.291264175,0.171106041,0.306799452,0.166134527,-0.035461464,0.075453534,-0.078277446,0.055637809,-0.026812284,0.109816936,0.160044037,-0.655503587,0.161557413,-0.650782008,-0.037105315,0.098981109,-0.174784676,-0.245925214,0.237552717,0.099756403,-1.417967554,-0.595451779,-1.42906124,-0.625122613,0.155085228,0.030620062
